track,model_label,total,success,asr_pct
A,Gemma-3-TAIDE-12b-Chat__bf16,508,299,58.86
A,breeze2-8b__bf16,508,292,57.48
A,ds-llama-8b__bf16,464,66,14.22
A,ds-qwen-7b__bf16,455,375,82.42
A,gemma-3-27b__bf16,508,433,85.24
A,gemma-3-4b__bf16,511,433,84.74
A,gpt-oss-120b__bf16,519,31,5.97
A,gpt-oss-20b__bf16,520,37,7.12
A,llama-3.2-3b__bf16,517,117,22.63
A,qwen3-32b__bf16,500,388,77.6
A,qwen3-8b__bf16,500,397,79.4
B,Gemma-3-TAIDE-12b-Chat__bf16,1560,1127,72.24
B,breeze2-8b__bf16,1560,853,54.68
B,ds-llama-8b__bf16,1524,378,24.8
B,ds-qwen-7b__bf16,1559,1115,71.52
B,gemma-3-27b__bf16,1560,1292,82.82
B,gemma-3-4b__bf16,1560,1261,80.83
B,gpt-oss-120b__bf16,1560,42,2.69
B,gpt-oss-20b__bf16,1530,53,3.46
B,llama-3.2-3b__bf16,1560,314,20.13
B,qwen3-32b__bf16,1560,1005,64.42
B,qwen3-8b__bf16,1560,950,60.9
