row_id,track,phase,model_label,source_file,reason
A::Gemma-3-TAIDE-12b-Chat__bf16::1-1::translated_hackerman::2::570a54d99dedc290,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::1-2::translated_hackerman::3::73edb132cbdb817d,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::1-3::translated_hackerman::4::d2e26ba7d8e4a77b,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::2-1::translated_dan::2::f769d2521d42f768,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::2-2::translated_dan::3::ab8fb01bc43bc8a3,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::2-3::translated_dan::4::e0d9eaa5d1b85ad4,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::3-1::translated_dan::2::e9d94bef5de6a1f3,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::3-1::translated_hackerman::2::e9d94bef5de6a1f3,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::3-2::translated_dan::3::74f02d4b8c5cfa23,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::3-2::translated_hackerman::3::74f02d4b8c5cfa23,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::3-3::translated_dan::4::f5c5d3153baa55f8,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::Gemma-3-TAIDE-12b-Chat__bf16::3-3::translated_hackerman::4::f5c5d3153baa55f8,A,,Gemma-3-TAIDE-12b-Chat__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\Gemma-3-TAIDE-12b-Chat__bf16\results_Gemma-3-TAIDE-12b-Chat__bf16.json,absent_from_clean_csv
A::breeze2-8b__bf16::1-1::translated_aim::2::570a54d99dedc290,A,,breeze2-8b__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\breeze2-8b__bf16\results_breeze2-8b__bf16.json,absent_from_clean_csv
A::breeze2-8b__bf16::1-1::translated_chadgpt::2::570a54d99dedc290,A,,breeze2-8b__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\breeze2-8b__bf16\results_breeze2-8b__bf16.json,absent_from_clean_csv
A::breeze2-8b__bf16::1-2::translated_aim::3::73edb132cbdb817d,A,,breeze2-8b__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\breeze2-8b__bf16\results_breeze2-8b__bf16.json,absent_from_clean_csv
A::breeze2-8b__bf16::1-2::translated_chadgpt::3::73edb132cbdb817d,A,,breeze2-8b__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\breeze2-8b__bf16\results_breeze2-8b__bf16.json,absent_from_clean_csv
A::breeze2-8b__bf16::1-3::translated_aim::4::d2e26ba7d8e4a77b,A,,breeze2-8b__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\breeze2-8b__bf16\results_breeze2-8b__bf16.json,absent_from_clean_csv
A::breeze2-8b__bf16::1-3::translated_chadgpt::4::d2e26ba7d8e4a77b,A,,breeze2-8b__bf16,C:\Users\jerry\Desktop\lab\0311\0520\results\from_second_model\track_a\breeze2-8b__bf16\results_breeze2-8b__bf16.json,absent_from_clean_csv
