metric,value
seed,20260602
source_file,results\second_judge\divi_shap_input\divi_shap_response_only_input_no_hard_artifact_candidates.csv
sample_design,Final no-hard-artifact corpus; Track A only; stratified equally by second_score 1-5
sample_size,300
source_track_a_score_1,1892
sample_score_1,60
source_track_a_score_2,238
sample_score_2,60
source_track_a_score_3,104
sample_score_3,60
source_track_a_score_4,978
sample_score_4,60
source_track_a_score_5,1834
sample_score_5,60
sample_model_Gemma-3-TAIDE-12b-Chat__bf16,29
sample_model_breeze2-8b__bf16,43
sample_model_ds-qwen-7b__bf16,35
sample_model_gemma-3-27b__bf16,16
sample_model_gemma-3-4b__bf16,29
sample_model_gpt-oss-120b__bf16,26
sample_model_gpt-oss-20b__bf16,28
sample_model_llama-3.2-3b__bf16,29
sample_model_qwen3-32b__bf16,26
sample_model_qwen3-8b__bf16,39
sample_scenario_1,40
sample_scenario_10,30
sample_scenario_2,14
sample_scenario_3,44
sample_scenario_4,24
sample_scenario_5,18
sample_scenario_6,18
sample_scenario_7,32
sample_scenario_8,47
sample_scenario_9,33
