track,model_label,turn,total,success,asr_pct
A,Gemma-3-TAIDE-12b-Chat__bf16,1,130,93,71.54
A,Gemma-3-TAIDE-12b-Chat__bf16,2,126,86,68.25
A,Gemma-3-TAIDE-12b-Chat__bf16,3,126,74,58.73
A,Gemma-3-TAIDE-12b-Chat__bf16,4,126,46,36.51
A,breeze2-8b__bf16,1,130,78,60.0
A,breeze2-8b__bf16,2,127,88,69.29
A,breeze2-8b__bf16,3,126,71,56.35
A,breeze2-8b__bf16,4,125,55,44.0
A,ds-llama-8b__bf16,1,129,3,2.33
A,ds-llama-8b__bf16,2,108,11,10.19
A,ds-llama-8b__bf16,3,112,20,17.86
A,ds-llama-8b__bf16,4,115,32,27.83
A,ds-qwen-7b__bf16,1,130,88,67.69
A,ds-qwen-7b__bf16,2,121,114,94.21
A,ds-qwen-7b__bf16,3,110,93,84.55
A,ds-qwen-7b__bf16,4,94,80,85.11
A,gemma-3-27b__bf16,1,130,123,94.62
A,gemma-3-27b__bf16,2,130,123,94.62
A,gemma-3-27b__bf16,3,130,105,80.77
A,gemma-3-27b__bf16,4,118,82,69.49
A,gemma-3-4b__bf16,1,130,116,89.23
A,gemma-3-4b__bf16,2,130,114,87.69
A,gemma-3-4b__bf16,3,130,110,84.62
A,gemma-3-4b__bf16,4,121,93,76.86
A,gpt-oss-120b__bf16,1,130,21,16.15
A,gpt-oss-120b__bf16,2,130,10,7.69
A,gpt-oss-120b__bf16,3,130,0,0.0
A,gpt-oss-120b__bf16,4,129,0,0.0
A,gpt-oss-20b__bf16,1,130,22,16.92
A,gpt-oss-20b__bf16,2,130,13,10.0
A,gpt-oss-20b__bf16,3,130,2,1.54
A,gpt-oss-20b__bf16,4,130,0,0.0
A,llama-3.2-3b__bf16,1,130,58,44.62
A,llama-3.2-3b__bf16,2,129,34,26.36
A,llama-3.2-3b__bf16,3,129,23,17.83
A,llama-3.2-3b__bf16,4,129,2,1.55
A,qwen3-32b__bf16,1,130,111,85.38
A,qwen3-32b__bf16,2,130,111,85.38
A,qwen3-32b__bf16,3,130,101,77.69
A,qwen3-32b__bf16,4,110,65,59.09
A,qwen3-8b__bf16,1,130,101,77.69
A,qwen3-8b__bf16,2,130,117,90.0
A,qwen3-8b__bf16,3,127,104,81.89
A,qwen3-8b__bf16,4,113,75,66.37
B,Gemma-3-TAIDE-12b-Chat__bf16,unknown,1560,1127,72.24
B,breeze2-8b__bf16,unknown,1560,853,54.68
B,ds-llama-8b__bf16,unknown,1524,378,24.8
B,ds-qwen-7b__bf16,unknown,1559,1115,71.52
B,gemma-3-27b__bf16,unknown,1560,1292,82.82
B,gemma-3-4b__bf16,unknown,1560,1261,80.83
B,gpt-oss-120b__bf16,unknown,1560,42,2.69
B,gpt-oss-20b__bf16,unknown,1530,53,3.46
B,llama-3.2-3b__bf16,unknown,1560,314,20.13
B,qwen3-32b__bf16,unknown,1560,1005,64.42
B,qwen3-8b__bf16,unknown,1560,950,60.9
